id	offset	bytes	ref_type	japanese	english
0	0x864	876	ptr	\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n　　予言者は云った・・・\n\n\n\n\n\n\n\n『そなたたち人間が、迷い、\n\n　世の秩序が土くれのごとく\n\n　風に舞うとき・・・\n\n　我らを創りし主は、\n\n　そなたたちに最後の試練を\n\n　与えるだろう。\n\n\n\n　それは、高きを目指すこと\n\n　それは、滴る血を拭うこと\n\n　それは、恐怖を捨てること\n\n　それは、後戻りしないこと\n\n　総ては摩天楼より生まれ、\n\n　摩天楼に帰するのだ・・・\n\n\n\n　そなたに力があるのならば\n\n　摩天楼に挑むがよい。\n\n\n\n　そなたに知恵があるのなら\n\n　摩天楼に問うがよい。　　\n\n\n\n　そなたに欲望があるのなら\n\n　摩天楼を望むがよい。　　\n\n\n\n　我が主は、必ずや\n\n　そなたたちの前に現れる。\n\n　摩天楼をその手にした者の\n\n　前に・・・』\n\n\n\n\n\n\n\n眼前にそびえ立つその塔が\n\n摩天楼なのか・・・\n\n終わりなき頂上を目指し、\n\n今日も一人の男が塔に挑み\n\nその審判を受ける・・・\n\n\n\nその手に掴むは、\n\n神の力か、それとも死か。\n\nその心に刻むは、\n\n勇気か、それとも絶望か。\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n	\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n From the words of the prophet \n\n\n\n\n\n\n\n"When you humans lose your way \n\n when the world's balance is thrown about\n\n like gravel in the wind \n\n Then the Lord who built us \n\n shall put you \n\n to the final test. \n\n\n\n You shall aim for the summit; \n\n You shall wipe the blood that has been spilled; \n\n You shall abandon fear; \n\n You shall never turn back. \n\n All that was born from the Wolkenkratzer, \n\n shall return to the Wolkenkratzer. \n\n\n\n If you have the strength \n\n then defy the Wolkenkratzer. \n\n\n\n If you have the wits, \n\n then question the Wolkenkratzer. \n\n\n\n If you have the ambition, \n\n then demand from the Wolkenkratzer. \n\n\n\n Mark our words, as we promise \n\n that, in front of the one \n\n  who seizes the Wolkenkratzer \n\n our Lord shall reveal Himself."\n\n\n\n\n\n\n\n This towering building... \n\n Could it be that Wolkenkratzer? \n\n Today, again, someone has arrived before it \n\n to defy its ever-extending heights \n\n and face its judgement. \n\n\n\n What will they gain from it? \n\n The power of a god, or their own death?\n\n What will be left engraved in their heart? \n\n Bravery, or despair? \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n
1	0x22A8	44	ptr	これから、その若者の物語をはじめよう・・・・	The story of this young fellow now begins...
2	0x22D8	58	ptr	そして、ここに「勇者」になることを夢みて旅立つ若者がいた。	A young man set out on a journey, in the hopes of becoming a hero of tales.
3	0x2314	36	ptr	たとえ、その結末が死であったとしても	Even if death were the only thing awaiting them
4	0x233C	46	ptr	しかし、人々は時間をかけてでも夢を追いかける。	People still poured their lives into the pursuit of such dreams.
5	0x236C	56	ptr	時の流れは止まらない、人の命は時間と言う火で消費される。	The course of time cannot be stopped; it erases, inescapably, the lives of men.
6	0x23A8	12	ptr	昔は今・・・	Now as before...
7	0x23B8	12	ptr	今は昔・・・	Before, as now...
8	0x23C8	18	ptr	ばぁいばぁいきぃん	Bubye bwing!
9	0x23DC	18	ptr	はーひふぅへほぉー	aybeeheedeehee
